Id,PC1,PC2,PC3,PC4,PC5,PC6,Choice
1,-2.526620678,0.512241973,-0.13518881,-1.810701177,0.118006282,-1.243965711,0
2,0.230561725,-0.94276077,-0.619013859,0.497764951,-0.307028776,-0.524390738,0
3,1.743854992,0.80285611,-0.729502348,-0.169597437,-0.388981476,-0.638095392,0
4,-4.722848515,-0.857951561,0.887823479,-1.888979703,-1.216411433,0.442028414,0
5,1.815494101,-0.188880307,-0.819833789,-0.213624094,0.070217479,0.345283491,1
6,-0.802217001,0.751671348,2.986548677,1.026974644,0.642563745,-0.352796174,0
7,-1.765823775,0.674553934,1.709248877,1.471339603,1.226235588,-0.751751857,0
8,-0.055511426,-2.005949728,0.189308265,-0.736064097,-0.965830298,-0.373418939,1
9,1.787382112,-1.352437388,-0.785507304,1.195991389,-0.369643601,-0.320075185,1
10,-0.202017747,0.372908984,0.354037541,0.030213998,-1.349274711,0.402807424,0
11,-4.093588874,-2.378706024,0.283312381,0.560574891,-0.137645737,0.176422663,0
12,-3.36793293,-0.843638536,0.636465862,-0.934269228,1.528063324,-0.111398557,0
13,1.668103992,-0.762878542,1.033984872,-0.321446432,-0.695669379,0.188334011,1
14,2.080185543,-1.584770917,0.431761423,0.148384096,-0.233144074,-0.311161563,0
15,-0.839307096,-0.61188216,0.504024606,-0.688038059,0.209827463,0.08948987,1
16,0.688571527,-0.037618951,2.830029485,0.44911474,-0.010342872,-0.224298977,1
17,-4.28234796,0.720658608,1.535189598,0.067374852,0.792590692,0.172523556,0
18,0.120212618,0.201888652,-1.187867024,0.456761434,-0.293500855,-0.016702828,0
19,3.201211061,-2.510721738,0.671673471,0.669059627,-0.74124124,0.337722696,1
20,0.520818901,-1.810559275,-0.126522513,-1.177463223,0.934564445,-0.322075823,1
21,-1.211988357,0.282553216,-2.731732126,-1.228659372,-1.229359161,0.687670122,0
22,-0.363968105,-1.675797018,2.165199156,-2.276372227,1.584801016,-0.106306539,1
23,-0.811422339,0.934598685,0.007620628,0.743671737,-0.071482893,-0.034132584,1
24,-7.243419066,-1.087068531,1.031069561,0.206605759,-1.28773245,0.29123481,0
25,-0.529084126,2.096743073,0.21330229,1.280786054,-0.597575088,-0.394743689,0
26,-1.350177674,-1.660183415,-0.98646906,-1.26986632,-0.429730077,-0.120751523,0
27,-0.52010109,-1.768060709,1.883658079,-0.20826489,1.719930995,-0.033192253,0
28,1.676633829,-1.436856845,-0.160359425,-0.618964176,1.265559826,0.295326659,1
29,0.889810223,-0.066414541,-1.70615962,-0.094109303,-1.14401531,1.082833106,1
30,-3.444091614,-2.767705529,-0.501003137,1.650808022,0.403929698,0.312036327,0
31,-0.14370384,0.787265877,-1.52525028,0.340884482,-0.606252871,0.085392646,0
32,2.738233407,-1.190411901,-0.562714413,-0.803171337,-0.385399587,-0.180279043,1
33,-4.63797477,-2.541120789,0.938450899,0.793042368,-0.234105015,0.095232502,0
