"","data.Choice","data.A_follower_count...data.B_follower_count","data.A_following_count...data.B_following_count","data.A_listed_count...data.B_listed_count","data.A_mentions_received...data.B_mentions_received","data.A_retweets_received...data.B_retweets_received","data.A_mentions_sent...data.B_mentions_sent","data.A_retweets_sent...data.B_retweets_sent","data.A_posts...data.B_posts","data.A_network_feature_1...data.B_network_feature_1","data.A_network_feature_2...data.B_network_feature_2","data.A_network_feature_3...data.B_network_feature_3"
"1",0,-34235,-29506,-1686,-14.846518229689,-3.883525446355,-8.103827839915,-0.231919685184,-6.626664888587,-64,90.9696969697,9438.10606061
"2",0,-17671,331,-1382,49.9614851467,16.8546848372,2.48165174795,0.546816093277,4.10629931584,206,-113.5877040247,-1601.14928967
"3",0,3688,733,-105,24.768948900812,9.201968543231,4.758316966748,0.490702248412,2.986516103708,92,58.5945017182,5722.563573887
"4",0,-19542,-17630,-276,-565.18403178621,-390.016375259151,-26.22053243309,-7.067053387055,-29.27127936259,-1756,-21.4692957746,-1299.6789671333
"5",1,38035,-849,2460,127.2524132639,33.41722272863,21.11711088829,2.21376510562,19.29803539087,466,78.904293381,840.22003577
"6",0,274588,274751,2943,-21.2649309036,1.36900677394,-19.547561096265,-1.761261848615,-12.160525855065,-68,-62.6253665691,1663.12170088
"7",0,100119,275250,-11700,-246.6862924074,-47.05321484395,-13.011400390765,-0.234262308266,-13.564669207965,-868,-128.1797772011,-1177.38812192
"8",1,1392,-698,-746,44.79842555296,21.09391363081,-1.236647791737,-0.495308653904,5.47319581505,166,-193.8547619044,-3738.425850343
"9",1,1975203,3973,5737,6289.148958692,2737.863692909,8.84051100666,1.937321874562,63.13074549071,19657,-69.1107337271,-2752.24455303
"10",0,64685,103,-6119,-43.910320101,6.69273459270001,12.2543586017,-2.466765808905,5.0194764517,-224,90.954483057,2502.12642794
"11",0,-319482,-34345,-22086,-176.243523837988,-42.229718021265,-6.487077160487,-1.244570039565,-3.997715380077,-695,-234.338068182,-7157.46448864
"12",0,-81224,-65608,-4938,-147.9362439194,-66.95541972498,-5.379845615515,0,-71.778770395665,-559,-187.1054974832,-8681.39547038
"13",1,22480,-502,797,115.75996735037,56.355926659619,1.23784751201,-1.191738994856,5.40384915088,455,-87.152998066,-266.72301741
"14",0,4097336,-13,26551,7011.8688006107,3761.3947017712,2.001490664095,0.239018782029,4.4335529192,25102,-43.6219530311,-5807.4682022
"15",1,-2423,-4543,-15,-0.48634318757,-1.130435823555,-1.313598363045,-0.264289605725,-2.355551776305,1,-11.4444444444,-682.666666667
"16",1,47961,21848,903,59.63233972617,18.266535098919,-5.034854502465,-1.931955380975,-4.322652435065,218,-112.0202887245,575.9551307
"17",0,-3161653,149,-507,-1248.3334665272,-978.71303057252,-12.862921871965,-2.279514719085,-100.437293302465,-4779,-4.9061738424,-1417.107913009
"18",0,-208761,401,-5443,-0.731734308,10.4678879067,6.845729896385,0.24143311316,0.72099872365,-9,97.5698643941,-3925.04590434
"19",1,265039,61,543,631.157638938183,457.548046489465,5.360482129195,0,7.397623139705,2600,-201.1736861722,-3415.974531001
"20",1,623649,-31055,2578,1408.488456229,279.6637008588,-3.0825583182,1.757722911715,-1.98012078616,4452,-106.5965708053,-2996.27143492
"21",0,-35067995,-135941,-238645,-32692.881772863,-6426.62300356,6.609777445065,0,7.874045143195,-52938,36.5234963471,2985.41378821
"22",1,4862272,-66935,21216,1623.873471047,762.7821096163,-5.379845615515,0,-71.778770395665,6753,-179.3390816249,-6512.37303361
"23",1,-514940,1930,-11034,-108.3894345269,-51.55962127922,-0.47814393349,-0.515393507177,-0.99551138321,-470,123.096868445,2945.5
"24",0,-4491288,-720,-29874,-4499.89574783147,-2206.47139426146,-26.866421384765,-12.527779364065,-28.72544676319,-16646,-22.7477263271,-2206.42073352
"25",0,-69710,24700,-219,-73.41301443063,-35.61398959747,-5.53125229198,-1.28014042002,30.3820680446,-284,112.43410293425,13652.14021163
"26",0,-281315,-37530,-21515,-143.9840631775,-25.8023755151,-2.2584967664,0.24229178579,6.47251006202,-574,-219.3461982633,-5123.55391953
"27",0,2689652,-46705,10733,4938.236708527,-61.93428507578,-4.669888366274,0.239018782029,-70.79751644756,17981,-201.10193619136,-9125.427575785
"28",1,71967,-22433,5466,377.64663549333,164.47595470897,7.30211993952,4.03320790913,-31.6942936703,1318,-60.0031240073,-13683.88070527
"29",1,-100627,-127020,3655,-27.848018732,-44.2344822298,12.978884419565,0,12.542377887165,99,171.917929714,-2780.8352368
"30",0,-124395,-9,-4043,-55.036762599365,-23.345636278065,-1.11712877268,0,-5.57055910748,-239,-217.241666667,-6466.73333333
"31",0,-1660599,460,-9497,-688.72577307,-56.570964311,20.2605085646,0.72443181389,18.99501072465,-2046,106.1151920426,896.2085546
"32",1,454678,-39150,11326,311.347970799661,142.357691313975,4.385586803965,0.948904564655,4.706319965365,1278,5.5328185328,-97.0104247100001
"33",0,-235679,-703,-2780,-77.093070025365,-23.870573099365,-12.192274512882,-2.450221709875,-12.257745648582,-307,-159.200647249,-5131.31067961
"34",1,129556,2963,405,92.314446952253,16.437980528365,2.447544256835,0,2.440725894291,353,-733.426997245,-965.7644628
"35",0,-200877,-13581,-2235,24.3794631818,-0.448205909119999,1.415449712645,0,1.181187404385,47,-257.1968803733,-14950.16678946
"36",0,-1096092,-749,-10551,-70.44739603868,-18.965908664676,0,0,-0.251336785336,-278,7.7901023891,649.685665529
"37",0,4615,275,91,27.659094479585,13.786338228365,2.680694873081,1.478459507325,3.871090615456,84,246.305882353,3851.31764706
"38",1,536110,-3768,10006,2411.17346981984,978.82416586262,12.1532960381,-0.24143311316,32.147830973984,8522,-27.201201772,3156.48232882
"39",0,-479814,-11348,-16283,-1782.9925700392,-685.474540476465,-1.46540332907,-1.217636864115,-13.06115348784,-6837,-7.1782982853,-1241.97616305
"40",1,9411942,-3340,17519,4321.9166222363,662.89704695311,6.501782331925,1.737877362225,-23.0782678978,12201,-2.5168223676,-593.2744241
"41",0,569859,150860,3857,147.4496046807,46.9078331824,20.464676582414,0.988257990501,14.945642730781,253,-5.89319493599999,3486.74226587
"42",1,4871914,33079,12620,172630.35053745,51908.849526193,5.21190995681,-1.24476603468,-4.4860145697,209719,-33.71859597141,-1237.6386294
"43",1,2122426,-547,11265,13313.192926345,1754.382132606,-5.1987495602,9.60304065101,-8.258747987,34793,-10.6085456766,-2252.79664215
"44",0,-1680,-1456,-82,-0.866477210177,-0.2055701004,-0.019811345936,0,-0.271148131273,-3,-324.333333333,-4209.66666667
"45",0,638899,-180,5919,-42.051431385,-44.4530724446,-0.48594018627,-0.49355660175,-1.77936841047,-117,88.0615344044,2813.34434655
"46",1,1480629,146524,15014,9899.77791479737,5011.74350984902,5.3031025277,-1.931955380975,188.6492624354,28553,-181.3994921072,-2819.77177971
"47",0,39776,-5447,-2038,-203.8208260823,-92.5153491827,0.32056846399,-1.202569500258,-5.06374260658,-726,316.2127658183,23367.74613622
"48",0,5270,1400,261,39.235192278921,3.765949719885,1.415449712645,0,1.181187404385,115,62.9915254237,2355.94915254
"49",0,1091922,-1296,2276,-102.9351459544,-48.8521134598,-11.194327336065,-2.466765808905,-10.833262744865,-401,-149.0165224179,-2806.33008027
"50",0,-142,-98,-4,-5.08061887148,-1.057471879005,-1.232394601115,-0.251336785336,-0.963983338702,-16,22.2666666667,-724.03809524
"51",0,-237794,1965,-6725,-660.14582881123,-296.794334200428,-28.157496604265,-0.739178984848,-20.622161632565,-2373,-63.72932330823,-2487.774853797
"52",1,130637,27,6949,-1554.186857716,-663.178919565,-27.7214861821,-6.9536500966,-88.9096526264,-3388,34.7866468167,737.77594964
"53",1,161156,-43942,6482,164.8612128051,97.11546511834,2.517284869853,1.514213466555,-0.6726487058,632,-25.0094666791,227.26203643
"54",1,95737,-392,355,81.255660798365,43.015391495565,6.489741751225,2.238629879265,10.46766372497,295,-39.79124579125,-2856.92592593
"55",0,-151501,1516,-13534,-3594.4868594279,-873.84210776882,-5.68426934469,-1.661807543287,-21.99428494998,-12361,210.6374110666,5818.06664025
"56",0,-68901,-42544,-1417,-6.16651170502,-3.044297968139,-0.00510315480899992,0,-4.237128169326,-29,12.8380614657,509.99527187
"57",0,-866892,285,-13742,-128.2013826162,-54.61985141592,-2.522046931995,-1.020656864805,-2.522046931995,-540,-132.158450704,-4909.909090909
"58",0,-2245164,1216,-21601,-457.7624355653,-201.95805036385,11.842928802107,0.72663241662,16.146461943323,-1791,281.3546895452,2679.61563711
"59",1,344027,-13481,2422,196.5991197352,105.8926393581,7.370836267065,0.495458722174,10.898630260465,744,-39.3271368999,-1388.78979958
"60",0,1400559,-140,19835,962.4500211919,577.8299691148,2.13546593127,0.705176873601,4.6452672701,4009,-81.8006055243,-1372.5951826
"61",0,-8422,-457,-440,-10.767642035321,-2.713019686235,-15.065431553965,-2.438163817405,-6.916255891775,-35,-122.138888889,-4560.16666667
"62",0,-57097,549,3413,-270.37171231,-61.9643320254,-1.8313540198,0.54632652567,-4.04282748592,-1108,69.2767412503,433.84282806
"63",0,13340,3374,366,-2.461154157351,-1.302199271045,-2.493585909155,-0.497646834966,-0.45914490515,-10,120.58333333333,2384.916666667
"64",1,214634,260,5977,4.5582117339,-11.328231389,-0.261646709668,0,-1.02306650491,16,43.2466622163,6647.622735073
"65",1,1336963,-342,14900,19073.8551159187,14530.4120465545,-4.88081522198,0.239018782029,9.77752502155,52378,-149.40265034222,-2689.054010696
"66",1,4491288,650,29872,4498.90247874687,2206.47139426146,26.599462187063,12.527779364065,28.445919456818,16641,-82.6522736729,1016.42073352
"67",0,-65018,-128007,-5062,-708.618389649,-258.4875108495,0.68779622514,2.316328011665,-27.79861393835,-2085,-22.7478245393,-1499.19595348
"68",0,-2224545,37735,-10500,-6781.95299814966,-2944.24870746198,-12.855219929165,-2.691357618125,-66.105704941665,-21676,36.1406356879,538.2979844
"69",0,-1259232,-182,-6095,-908.548818170465,-211.233167611465,-11.672454445382,-7.465139581665,-12.443054676082,-3366,-10.0486660803,-1326.84286133
"70",0,-1467170,-741,-38619,-3217.3052917807,-1374.1421711223,-7.460873547424,-6.225932687491,-22.110768074981,-11773,183.7231313841,6137.6538154
"71",1,5915371,-254,7482,65756.0705462733,32053.3410403599,0.750280129493,0,1.27401805144,187663,-7.25703342002,679.454993878
"72",1,-343069,9281,3042,1707.9178907363,656.901817646,-2.11995845616,-1.29765398018,10.77716779215,6516,2.4005774147,-827.63817754
"73",1,6560947,-17,16052,2432.161114393,569.882832005,2.245677062114,0.482866226321,1.53189698019,8190,1.99810278326,1282.0626408
"74",1,5151,1710,106,-18.6346873876,-27.87704721973,-44.85534780019,1.019223340035,-38.06717998387,-62,38.4727891156,507.32178453
