data.Choice,X.data.A_follower_count...mean.data.A_follower_count...sd.data.A_follower_count....,X.data.A_following_count...mean.data.A_following_count...sd.data.A_following_count....,X.data.A_listed_count...mean.data.A_listed_count...sd.data.A_listed_count....,X.data.A_mentions_received...mean.data.A_mentions_received...sd.data.A_mentions_received....,X.data.A_retweets_received...mean.data.A_retweets_received...sd.data.A_retweets_received....,X.data.A_mentions_sent...mean.data.A_mentions_sent...sd.data.A_mentions_sent....,X.data.A_retweets_sent...mean.data.A_retweets_sent...sd.data.A_retweets_sent....,X.data.A_posts...mean.data.A_posts...sd.data.A_posts.....data.B_posts...,X.data.A_network_feature_1...mean.data.A_network_feature_1...sd.data.A_network_feature_1....,X.data.A_network_feature_2...mean.data.A_network_feature_2...sd.data.A_network_feature_2....,X.data.A_network_feature_3...mean.data.A_network_feature_3...sd.data.A_network_feature_3....
0,-0.01890432,-0.59316099,-0.084561613,0.009816839,0.012083108,-0.837272877,-0.129573426,-0.34710576,0.011857998,0.873960593,1.652711927
0,-0.010595515,0.003302922,-0.066738109,0.011899278,0.013897987,0.26340053,0.279985271,0.220510524,0.020914174,-1.078241521,-0.27234158
0,-0.001139371,0.011349512,0.01208052,0.011257016,0.013334795,0.496607606,0.24687629,0.157894642,0.017423397,0.547518062,1.019684953
0,-0.012110188,-0.356025474,0.001953299,-0.012158404,-0.029252644,-2.696512752,-3.652993986,-1.505142293,-0.051337451,-0.21868958,-0.208429593
1,0.015908695,-0.020406522,0.160103784,0.014654625,0.01549437,2.228958444,1.157154069,1.061094629,0.030114324,0.751659889,0.158756604
0,0.132614967,5.602998642,0.186880863,0.009456582,0.012532015,-2.013455217,-0.917928981,-0.632813085,0.011546413,-0.594359643,0.298021115
0,0.051865174,5.612967771,-0.711547466,0.000471617,0.007348737,-1.341671226,-0.130781018,-0.705099646,-0.018327943,-1.208801384,-0.216713234
1,-0.002135811,-0.017752199,-0.027660785,0.01190681,0.014392997,-0.130874311,-0.265346938,0.295981158,0.019907096,-1.832178771,-0.653878403
1,0.979503808,0.077489685,0.326900045,0.223300824,0.259163492,0.93337211,1.01029382,3.450219828,0.687675104,-0.664088009,-0.479300597
0,0.032363502,-0.001157038,-0.370647074,0.007849095,0.012050489,1.308236516,-1.281606894,0.301262275,0.004302944,0.899735088,0.420774908
0,-0.15083631,-0.68857617,-1.336740052,0.003385427,0.007978402,-0.670511348,-0.651581222,-0.211765077,-0.011702603,-2.21438063,-1.269289876
0,-0.04054147,-1.313929776,-0.284686207,0.004501936,0.00531495,-0.55730307,-0.010021912,-3.702013876,-0.006646337,-1.767245193,-1.552122715
1,0.008036934,-0.013630547,0.064753353,0.014368162,0.017639807,0.137066277,-0.618392456,0.301869464,0.029941279,-0.810024948,-0.047513967
0,2.023273186,-0.003961816,1.527375487,0.250512916,0.355664623,0.205880409,0.115112007,0.253137313,0.880841126,-0.424134506,-1.035132113
1,-0.00412478,-0.094394918,0.017429436,0.010368785,0.012377808,-0.139375799,-0.14625969,-0.12804421,0.014240541,-0.123077289,-0.097812024
1,0.020596652,0.442411238,0.070866689,0.012443704,0.014162897,-0.521845021,-1.005919228,-0.229312319,0.021753839,-1.048965325,0.098851918
0,-1.466236381,-0.000654573,-0.012565972,-0.039372817,-0.092286543,-1.326410663,-1.185081447,-5.177380383,-0.164269922,-0.063207758,-0.231073548
0,-0.09922467,0.004485669,-0.31781394,0.010070726,0.013269111,0.7147399,0.116375986,0.050388037,0.013352503,0.932524188,-0.708171686
1,0.127579571,-0.002504745,0.050181748,0.032048234,0.05426513,0.558723158,-0.010021912,0.397219246,0.104065166,-1.902629205,-0.595015069
1,0.307345632,-0.624096161,0.150345315,0.057106269,0.037433168,-0.313306556,0.910201821,-0.088730301,0.165933082,-1.013855048,-0.525198374
0,-16.22305805,-2.719458358,-14.63959043,-1.295335717,-0.67859805,0.689954451,-0.010021912,0.42323751,-1.96786802,0.337176212,0.531263784
1,2.396133705,-1.341006619,1.223692998,0.065252267,0.081055806,-0.55730307,-0.010021912,-3.702013876,0.245955185,-1.692620645,-1.17538233
1,-0.230669134,0.035627956,-0.668427343,0.005953305,0.006910861,-0.048879397,-0.271635553,-0.053248672,-0.003554948,1.196707845,0.500405539
0,-2.081773008,-0.018181488,-1.81404627,-0.168947969,-0.223689344,-2.765684758,-6.467925635,-1.484826556,-0.607357118,-0.23114355,-0.372018811
0,-0.034523532,0.500217058,0.004927647,0.007440318,0.008566682,-0.570693943,-0.662206202,1.689978062,0.003614583,1.064577427,2.383185234
0,-0.132023595,-0.753564675,-1.303808779,0.004491512,0.009477937,-0.226323279,0.126838135,0.360032807,-0.007522518,-2.07032943,-0.91601725
0,1.325237881,-0.928222489,0.619107114,0.178892386,0.005773294,-0.482726141,0.115112007,-3.64842583,0.633839469,-1.901731671,-1.629247241
1,0.033213382,-0.450980226,0.333605024,0.023314886,0.027392768,0.764851696,2.109201517,-1.605000603,0.059751818,-0.565815139,-2.467517239
1,-0.047900051,-2.529875887,0.223834358,0.007787796,0.007198708,1.358992536,-0.010021912,0.678183576,0.015461354,1.662770135,-0.541794611
0,-0.060608721,-0.003577071,-0.229279595,0.008217608,0.009999818,-0.116841612,-0.010021912,-0.288743958,0.005328577,-2.054135993,-1.144038403
0,-0.770273056,0.005744962,-0.573523719,-0.017869072,0.00586173,2.140917198,0.389422555,1.045494647,-0.063691153,1.006707746,0.168902393
1,0.222530451,-0.784634167,0.666774093,0.021084572,0.025490879,0.456316007,0.486759745,0.250242328,0.058397939,0.045365283,-0.00145918
0,-0.112132504,-0.017791124,-0.151725019,0.007338476,0.009943627,-1.256918297,-1.273078631,-0.637039005,0.002789256,-1.510117297,-0.902043848
1,0.060831617,0.056829925,0.042090306,0.01357396,0.01399932,0.252735775,-0.010021912,0.128065386,0.026442741,-6.868175077,-0.226026331
0,-0.095859719,-0.274448127,-0.11925846,0.011163014,0.012391483,0.144320175,-0.010021912,0.057728485,0.015684232,-2.413558846,-2.700169278
0,-0.510340946,-0.018741671,-0.628614217,0.007588778,0.010455526,-0.004364683,-0.010021912,-0.019717332,0.003844234,0.06015341,0.134920436
0,-0.000778623,0.002175615,0.024120924,0.011358708,0.013757271,0.278348949,0.763998565,0.207007647,0.017152621,2.349202141,0.692998691
1,0.261350741,-0.078178072,0.594497649,0.093044061,0.101808775,1.276055233,-0.134477472,1.751141641,0.308577606,-0.258956237,0.563242477
0,-0.225121302,-0.230269506,-0.98019705,-0.060725449,-0.060876699,-0.148254319,-0.637697528,-0.670836666,-0.241144076,-0.07257358,-0.208182185
1,4.640065536,-0.069657666,1.027875787,0.15851766,0.072922147,0.680364634,0.899812046,-1.185434459,0.435608602,-0.037658586,-0.105368422
0,0.279567336,3.074421075,0.230428229,0.014916171,0.016344178,2.146907633,0.509228314,0.810156319,0.021791102,-0.017610376,0.569575476
1,2.412488295,0.671287007,0.720600495,5.92381294,4.743943589,0.556922787,-0.639193172,-0.195815942,7.248055315,-0.332713423,-0.205718142
1,1.047246016,-0.014641268,0.663370198,0.465393503,0.170617005,-0.477358113,5.044786252,-0.374809502,1.213835223,-0.113388093,-0.396159001
0,-0.003838396,-0.032867975,0.013845216,0.010376756,0.012476809,-0.005865004,-0.010021912,-0.019996376,0.014141512,-3.057906593,-0.735030931
0,0.318850244,-0.007348912,0.331099455,0.007993563,0.006858967,-0.048597863,-0.256232561,-0.090485486,0.008312623,0.839317759,0.498609375
1,0.726766244,2.98636943,0.884690156,0.349834397,0.469982002,0.564097953,-1.005919228,10.30923178,1.000619281,-1.715603811,-0.490956395
0,0.023833365,-0.11173258,-0.112275374,0.002071612,0.002374057,0.045383299,-0.623997788,-0.252092584,-0.013327297,3.035306894,4.021509332
0,-0.000448342,0.024845518,0.033884824,0.011755142,0.01284258,0.144320175,-0.010021912,0.057728485,0.018223552,0.587568302,0.435905894
0,0.538694022,-0.029703009,0.113517621,0.005825301,0.006980194,-1.154913182,-1.281606894,-0.564484387,-0.001811726,-1.40605541,-0.501257948
0,-0.003128486,-0.005666786,0.018630943,0.010201295,0.012385618,-0.131029709,-0.139582683,-0.054831194,0.013642069,0.21353717,-0.114029027
0,-0.112264252,0.036961159,-0.393753984,-0.015904781,-0.019274137,-2.898380954,-0.391058852,-1.068425697,-0.074369658,-0.614635901,-0.424645547
1,0.064396519,-0.003136681,0.416092314,-0.052512227,-0.060072141,-2.846755933,-3.582354201,-4.570459766,-0.114163373,0.319223203,0.143649687
1,0.078521681,-0.881558834,0.387439304,0.016006514,0.02131234,0.261172895,0.782716897,-0.027939529,0.035955265,-0.241245997,0.051138461
1,0.044147017,-0.01160689,0.039339227,0.013196174,0.016422144,0.677345391,1.161971882,0.569643296,0.024441861,-0.38872278,-0.505782263
0,-0.062458025,0.027356975,-0.821816049,-0.132997439,-0.081109036,-0.583962891,-0.862596749,-1.134284401,-0.447599904,2.017225684,1.020948968
0,-0.034874624,-0.853033267,-0.068119591,0.010142458,0.012169465,-0.00378947,-0.010021912,-0.222602178,0.013120253,0.122416566,0.100246772
0,-0.404148125,0.002062464,-0.824605782,0.00527401,0.006631515,-0.263579661,-0.536156957,-0.13661553,-0.005973179,-1.255943834,-0.864010891
0,-1.04185567,0.021312776,-1.31038159,-0.008007726,-0.009267091,1.241399856,0.372519439,0.877348681,-0.052980068,2.695276875,0.46433239
1,0.167971496,-0.269146607,0.155146654,0.016807673,0.021873773,0.769899307,0.249366455,0.588415555,0.03931542,-0.376878294,-0.246738783
0,0.687389961,-0.006369442,1.162020886,0.043382171,0.065221163,0.225021644,0.359160563,0.251592074,0.152698754,-0.771064519,-0.244995401
0,-0.006943921,-0.012850903,-0.008164237,0.009980696,0.012208403,-1.55278373,-1.266862948,-0.362833355,0.012943741,-1.162501678,-0.799658776
0,-0.024586094,0.007541782,0.211821855,-0.001379736,0.004637528,-0.166530797,0.299675423,-0.185148528,-0.02904663,0.650943929,0.092818806
0,0.003618632,0.066456842,0.039690077,0.010311903,0.012359422,-0.260654448,-0.26655224,-0.020263539,0.013877314,1.142929283,0.438372138
1,0.103014155,0.001497779,0.362821826,0.010277499,0.01110096,-0.031256628,-0.010021912,-0.041655386,0.014260906,0.400363448,1.178203485
1,0.656392643,-0.010503953,0.875471402,0.664088304,1.338526876,-0.501563077,0.117054344,0.54723864,1.823147355,-1.417552,-0.463971789
1,2.210717161,0.009495631,1.741687404,0.164660369,0.213911941,2.790360522,6.548668204,1.548343359,0.589122204,-0.78726934,0.195404927
