Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss,Features Not Used,Test AUC
0.773090909,0.766714083,0.784570597,0.775539568,0.825316932,0.51350525,25.91682399,None,0.77633
0.767272727,0.761024182,0.77874818,0.769784173,0.817649623,0.520156272,24.95728391,"10, 11, 12",0.77425
0.765090909,0.762247839,0.770014556,0.766111513,0.815360431,0.521182477,24.80923378,"3, 7, 8, 10, 11, 12",
0.762181818,0.760115607,0.765647744,0.762871646,0.808839833,0.523864378,24.42231716,"3, 7, 8, 9, 10, 11, 12",
0.754909091,0.72845953,0.812227074,0.76806607,0.796619529,0.531894632,23.26379587,"3, 4, 7, 8, 9, 10, 11, 12",
0.748363636,0.748180495,0.748180495,0.748180495,0.788848549,0.535072737,22.80529208,"3, 4, 6, 7, 8, 9, 10, 11, 12",
0.748363636,0.748180495,0.748180495,0.748180495,0.748363503,0.564621514,18.54230312,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",
,,,,,,,,
,,,,,,,,
,,,1,data.Choice,,,,
,,,2,data.A_follower_count...data.B_follower_count,,,,
,,,3,data.A_following_count...data.B_following_count,,,,
,,,4,data.A_listed_count...data.B_listed_count,,,,
,,,5,data.A_mentions_received...data.B_mentions_received,,,,
,,,6,data.A_retweets_received...data.B_retweets_received,,,,
,,,7,data.A_mentions_sent...data.B_mentions_sent,,,,
,,,8,data.A_retweets_sent...data.B_retweets_sent,,,,
,,,9,data.A_posts...data.B_posts,,,,
,,,10,data.A_network_feature_1...data.B_network_feature_1,,,,
,,,11,data.A_network_feature_2...data.B_network_feature_2,,,,
,,,12,data.A_network_feature_3...data.B_network_feature_3,,,,
