Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss,Features Not Used,Test AUC
0.687272727,0.667973856,0.743813683,0.703856749,0.740681384,0.632546194,8.742839497,None,
0.696727273,0.663834951,0.796215429,0.724023825,0.748313784,0.639042724,7.805587872,"10, 11, 12",0.67135
0.689454545,0.639484979,0.867540029,0.736256949,0.766457,0.655000538,5.503361079,"3, 7, 8, 10, 11, 12",0.67475
0.645090909,0.59342723,0.919941776,0.721461187,0.787738863,0.666201404,3.887417176,"3, 7, 8, 9, 10, 11, 12",
0.606545455,0.565412186,0.918486172,0.699944537,0.778856081,0.672142274,3.030330517,"3, 4, 7, 8, 9, 10, 11, 12",
0.606545455,0.565412186,0.918486172,0.699944537,0.778846561,0.672136222,3.03120361,"3, 4, 6, 7, 8, 9, 10, 11, 12",
0.606545455,0.565412186,0.918486172,0.699944537,0.778869833,0.672042078,3.044785673,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",
,,,,,,,,
,,1,data.Choice,,,,,
,,2,data.A_follower_count...data.B_follower_count,,,,,
,,3,data.A_following_count...data.B_following_count,,,,,
,,4,data.A_listed_count...data.B_listed_count,,,,,
,,5,data.A_mentions_received...data.B_mentions_received,,,,,
,,6,data.A_retweets_received...data.B_retweets_received,,,,,
,,7,data.A_mentions_sent...data.B_mentions_sent,,,,,
,,8,data.A_retweets_sent...data.B_retweets_sent,,,,,
,,9,data.A_posts...data.B_posts,,,,,
,,10,data.A_network_feature_1...data.B_network_feature_1,,,,,
,,11,data.A_network_feature_2...data.B_network_feature_2,,,,,
,,12,data.A_network_feature_3...data.B_network_feature_3,,,,,
