,Training Results,,,,,,,,Test,Weights,1,2,3,4,5,6,7,8,9,10,11
Exclude Features,Transform,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss,Test AUC,Bias,listed_count,network_1,follower_count,network_2,mentions_received,retweets received,posts,network_3,retweets_sent,mentions_sent,following_count
None,Continuous Delta,0.714909091,0.698519515,0.755458515,0.725874126,0.768586456,0.627257405,9.505850738,0.75928,29.8917,29.8917,4.3669,10.2707,3.36458,-4.50568,-3.75795,1.30104,4.56253,4.01355,1.4443,1.89409
5_6,Continuous Delta,0.714909091,0.698519515,0.755458515,0.725874126,0.768699646,0.626982533,9.545506391,0.75939,,,,,,,,,,,,
5_6_7_10_11,Continuous Delta,0.711272727,0.689790576,0.767103348,0.726395589,0.76333528,0.637115674,8.083602534,0.76479,,,,,,,,,,,,
None,Discrete Data,0.773090909,0.766714083,0.784570597,0.775539568,0.825217494,0.513603853,25.90259862,0.83982,-1.98153,0.889512,0.631279,0.84012,0.507356,0,0.511278,0.0755027,0.119274,0.259383,0.206917,0.0716736
5,Discrete Data,0.773090909,0.766714083,0.784570597,0.775539568,0.825198453,0.513453868,25.92423687,0.83982,,,,,,,,,,,,
5_7_8_11,Discrete Data,0.773090909,0.765957447,0.786026201,0.775862069,0.824491808,0.513324521,25.94289762,0.8388,,,,,,,,,,,,
None,Logarithm,0.769454545,0.759103641,0.788937409,0.773733048,0.8625512,0.460116019,33.61926486,0.86085,-6.76547,4.57783,4.34763,3.25646,2.23444,-2.1162,1.67448,-0.99674,-0.896639,0.891404,0.745961,0.105876
5_7_8,Logarithm,0.766545455,0.757022472,0.784570597,0.770550393,0.861343133,0.46141967,33.43118762,0.86108,,,,,,,,,,,,
5_7_8_11,Logarithm,0.765090909,0.754189944,0.786026201,0.769779045,0.861572687,0.4612078,33.46175405,0.86109,,,,,,,,,,,,
